index,value
0,27.0
1,27.0
2,27.0
3,26.0
4,26.0
5,26.0
6,26.0
7,26.0
8,26.0
9,26.0
10,26.0
11,25.0
12,25.0
13,23.0
14,22.0
15,20.0
16,16.0
17,12.0
18,7.0
19,4.0
20,-1.0
21,-7.0
22,-6.0
23,-3.0
24,-4.0
