index,value
0,44.0
1,44.0
2,44.0
3,44.0
4,44.0
5,44.0
6,44.0
7,44.0
8,44.0
9,44.0
10,44.0
11,44.0
12,44.0
13,44.0
14,44.0
15,44.0
16,44.0
17,44.0
18,44.0
19,43.0
